Obs;Make;Model;Cylinders;Horsepower;MPG_City;MPG_Highway;Weight;Wheelbase;Year;Milage;Regnr
1;Acura;MDX;6;265;17;23;4451;106;1997;19;AH22112
2;Acura;RSX Type S 2dr;4;200;24;31;2778;101;1998;12000;CA33211
3;Acura;TSX 4dr;4;200;22;29;3230;105;1999;23983;AC44011
4;Acura;TL 4dr;6;270;20;28;3575;108;2000;35968;CH05111
5;Acura;3.5 RL 4dr;6;225;18;24;3880;115;2001;47955;AA16211
6;Acura;3.5 RL w/Navigation 4dr;6;225;18;24;3893;115;2002;59944;CC27012
7;Acura;NSX coupe 2dr manual S;6;290;17;24;3153;100;2003;71935;AH38120
8;Audi;A4 1.8T 4dr;4;170;22;31;3252;104;2004;83928;CA49220
9;Audi;A41.8T convertible 2dr;4;170;23;30;3638;105;2005;95923;AC010112
10;Audi;A4 3.0 4dr;6;220;20;28;3462;104;2006;19;CH111122
11;Audi;A4 3.0 Quattro 4dr manual;6;220;17;26;3583;104;2007;12009;AA21221
12;Audi;A4 3.0 Quattro 4dr auto;6;220;18;25;3627;104;2008;24001;CC31301
13;Audi;A6 3.0 4dr;6;220;20;27;3561;109;2009;35995;AH41411
14;Audi;A6 3.0 Quattro 4dr;6;220;18;25;3880;109;2010;47991;CA01529
15;Audi;A4 3.0 convertible 2dr;6;220;20;27;3814;105;2011;59989;AC11603
16;Audi;A4 3.0 Quattro convertible 2dr;6;220;18;25;4013;105;2012;71989;CH21712
17;Audi;A6 2.7 Turbo Quattro 4dr;6;250;18;25;3836;109;2013;83991;AA31821
18;Audi;A6 4.2 Quattro 4dr;8;300;17;24;4024;109;2014;95995;CC41900
19;Audi;A8 L Quattro 4dr;8;330;17;24;4399;121;2015;19;AH02010
20;Audi;S4 Quattro 4dr;8;340;14;20;3825;104;2016;12018;CA12120
21;Audi;RS 6 4dr;8;450;15;22;4024;109;1977;24019;AC22200
22;Audi;TT 1.8 convertible 2dr (coupe);4;180;20;28;3131;95;1978;36022;CH32312
23;Audi;TT 1.8 Quattro 2dr (convertible);4;225;20;28;2921;96;1979;48027;AA42429
24;Audi;TT 3.2 coupe 2dr (convertible);6;250;21;29;3351;96;1980;60034;CC02502
25;Audi;A6 3.0 Avant Quattro;6;220;18;25;4035;109;1981;72043;AH12612
26;Audi;S4 Avant Quattro;8;340;15;21;3936;104;1982;84054;CA22722
27;BMW;X3 3.0i;6;225;16;23;4023;110;1983;96067;AC32802
28;BMW;X5 4.4i;8;325;16;22;4824;111;1984;19;CH42912
29;BMW;325i 4dr;6;184;20;29;3219;107;1985;12027;AA03022
30;BMW;325Ci 2dr;6;184;20;29;3197;107;1986;24037;CC13102
31;BMW;325Ci convertible 2dr;6;184;19;27;3560;107;1987;36049;AH23212
32;BMW;325xi 4dr;6;184;19;27;3461;107;1988;48063;CA33322
33;BMW;330i 4dr;6;225;20;30;3285;107;1989;60079;AC43420
34;BMW;330Ci 2dr;6;225;20;30;3285;107;1990;72097;CH03521
35;BMW;330xi 4dr;6;225;20;29;3483;107;1991;84117;AA13622
36;BMW;525i 4dr;6;184;19;28;3428;114;1992;96139;CC23720
37;BMW;330Ci convertible 2dr;6;225;19;28;3616;107;1993;19;AH31381
38;BMW;530i 4dr;6;225;20;30;3472;114;1994;12036;CA43912
39;BMW;545iA 4dr;8;325;18;26;3814;114;1995;24055;AC04010
40;BMW;745i 4dr;8;325;18;26;4376;118;1996;36076;CH14111
41;BMW;745Li 4dr;8;325;18;26;4464;123;1997;48099;AA24122
42;BMW;M3 coupe 2dr;6;333;16;24;3415;108;1998;60124;CC34310
43;BMW;M3 convertible 2dr;6;333;16;23;3781;108;1999;72151;AH41441
44;BMW;Z4 convertible 2.5i 2dr;6;184;20;28;2932;98;2000;84180;CA01452
45;BMW;Z4 convertible 3.0i 2dr;6;225;21;29;2998;98;2001;96211;AC11460
46;BMW;325xi Sport;6;184;19;26;3594;107;2002;19;CH24711
47;Buick;Rainier;6;275;15;21;4600;113;2003;12045;AA34182
48;Buick;Rendezvous CX;6;185;19;26;4024;112;2004;24073;CC44910
49;Buick;Century Custom 4dr;6;175;20;30;3353;109;2005;36103;AH01501
50;Buick;LeSabre Custom 4dr;6;205;20;29;3567;112;2006;48135;CA11512
51;Buick;Regal LS 4dr;6;200;20;30;3461;109;2007;60169;AC25210
52;Buick;Regal GS 4dr;6;240;18;28;3536;109;2008;72205;CH35311
53;Buick;LeSabre Limited 4dr;6;205;20;29;3591;112;2009;84243;AA41542
54;Buick;Park Avenue 4dr;6;205;20;29;3778;114;2010;96283;CC05510
55;Buick;Park Avenue Ultra 4dr;6;240;18;28;3909;114;2011;19;AH11561
56;Cadillac;Escalade;8;295;14;18;5367;116;2012;12054;CA25712
57;Cadillac;SRX V8;8;320;16;21;4302;116;2013;24091;AC35810
58;Cadillac;CTS VVT 4dr;6;255;18;25;3694;113;2014;36130;CH45911
59;Cadillac;Deville 4dr;8;275;18;26;3984;115;2015;48171;AA06012
60;Cadillac;Deville DTS 4dr;8;300;18;26;4044;115;2016;60214;CC16150
61;Cadillac;Seville SLS 4dr;8;275;18;26;3992;112;1977;72259;AH26251
62;Cadillac;XLR convertible 2dr;8;320;17;25;3647;106;1978;84306;CA53632
63;Cadillac;Escalade EXT;8;345;13;17;5879;130;1979;96355;AC46450
64;Chevrolet;Suburban 1500 LT;8;295;14;18;4947;130;1980;19;CH05651
65;Chevrolet;Tahoe LT;8;295;14;18;5050;116;1981;12063;AA16652
66;Chevrolet;TrailBlazer LT;6;275;16;21;4425;113;1982;24109;CC26750
67;Chevrolet;Tracker;6;165;19;22;2866;98;1983;36157;AH36851
68;Chevrolet;Aveo 4dr;4;103;28;34;2370;98;1984;48207;CA46592
69;Chevrolet;Aveo LS 4dr hatch;4;103;28;34;2348;98;1985;60259;AC07050
70;Chevrolet;Cavalier 2dr;4;140;26;37;2617;104;1986;72313;CH17151
71;Chevrolet;Cavalier 4dr;4;140;26;37;2676;104;1987;84369;AA27252
72;Chevrolet;Cavalier LS 2dr;4;140;26;37;2617;104;1988;96427;CC35730
73;Chevrolet;Impala 4dr;6;180;21;32;3465;111;1989;19;AH47451
74;Chevrolet;Malibu 4dr;4;145;24;34;3174;106;1990;12072;CA05752
75;Chevrolet;Malibu LS 4dr;6;200;22;30;3297;106;1991;24127;AC15760
76;Chevrolet;Monte Carlo LS 2dr;6;180;21;32;3340;111;1992;36184;CH25771
77;Chevrolet;Impala LS 4dr;6;200;20;30;3476;111;1993;48243;AA37852
78;Chevrolet;Impala SS 4dr;6;240;18;28;3606;111;1994;60304;CC47950
79;Chevrolet;Malibu LT 4dr;6;200;23;32;3315;106;1995;72367;AH08051
80;Chevrolet;Monte Carlo SS 2dr;6;200;18;28;3434;111;1996;84432;CA15812
81;Chevrolet;Astro;6;190;14;17;4605;111;1997;96499;AC28250
82;Chevrolet;Venture LS;6;185;19;26;3699;112;1998;19;CH35831
83;Chevrolet;Corvette 2dr;8;350;18;25;3246;105;1999;12081;AA45842
84;Chevrolet;Corvette convertible 2dr;8;350;18;25;3248;105;2000;24145;CC08550
85;Chevrolet;Avalanche 1500;8;295;14;18;5678;130;2001;36211;AH18651
86;Chevrolet;Colorado Z85;4;175;18;23;3623;111;2002;48279;CA28752
87;Chevrolet;Silverado 1500 Regular Cab;6;200;15;21;4142;119;2003;60349;AC38850
88;Chevrolet;Silverado SS;8;300;13;17;4804;144;2004;72421;CH48951
89;Chevrolet;SSR;8;300;16;19;4760;116;2005;84495;AA09052
90;Chevrolet;Malibu Maxx LS;6;200;22;30;3458;112;2006;96571;CC19150
91;Chrysler;PT Cruiser 4dr;4;150;22;29;3101;103;2007;19;AH29251
92;Chrysler;PT Cruiser Limited 4dr;4;150;22;29;3105;103;2008;12090;CA39352
93;Chrysler;Sebring 4dr;4;150;22;30;3173;108;2009;24163;AC49450
94;Chrysler;Sebring Touring 4dr;6;200;21;28;3222;108;2010;36238;CH09551
95;Chrysler;300M 4dr;6;250;18;27;3581;113;2011;48315;AA19652
96;Chrysler;Concorde LX 4dr;6;200;21;29;3479;113;2012;60394;CC25970
97;Chrysler;Concorde LXi 4dr;6;232;19;27;3548;113;2013;72475;AH35981
98;Chrysler;PT Cruiser GT 4dr;4;220;21;27;3217;103;2014;84558;CA45992
99;Chrysler;Sebring convertible 2dr;4;150;22;30;3357;106;2015;96643;AC01500
100;Chrysler;300M Special Edition 4dr;6;255;18;27;3650;113;2016;19;CH11011
101;Chrysler;Sebring Limited convertible 2dr;6;200;21;28;3448;106;1977;12099;AA21022
102;Chrysler;Town and Country LX;6;180;19;26;4068;119;1978;24181;CC31030
103;Chrysler;Town and Country Limited;6;215;18;25;4331;119;1979;36265;AH41041
104;Chrysler;Crossfire 2dr;6;215;17;25;3060;95;1980;48351;CA01052
105;Chrysler;Pacifica;6;250;17;23;4675;116;1981;60439;AC11060
106;Dodge;Durango SLT;8;230;15;21;4987;119;1982;72529;CH21071
107;Dodge;Neon SE 4dr;4;132;29;36;2581;105;1983;84621;AA31082
108;Dodge;Neon SXT 4dr;4;132;29;36;2626;105;1984;96715;CC41090
109;Dodge;Intrepid SE 4dr;6;200;21;29;3469;113;1985;19;AH01101
110;Dodge;Stratus SXT 4dr;4;150;21;28;3182;108;1986;12108;CA11112
111;Dodge;Stratus SE 4dr;4;150;21;28;3175;108;1987;24199;AC21120
112;Dodge;Intrepid ES 4dr;6;232;18;27;3487;113;1988;36292;CH31131
113;Dodge;Caravan SE;4;150;20;26;3862;113;1989;48387;AA41142
114;Dodge;Grand Caravan SXT;6;215;18;25;4440;119;1990;60484;CC01150
115;Dodge;Viper SRT-10 convertible 2dr;10;500;12;20;3410;99;1991;72583;AH11161
116;Dodge;Dakota Regular Cab;6;210;16;22;3714;112;1992;84684;CA21172
117;Dodge;Dakota Club Cab;6;210;16;22;3829;131;1993;96787;AC31180
118;Dodge;Ram 1500 Regular Cab ST;6;215;16;21;4542;121;1994;19;CH41191
119;Ford;Excursion 6.8 XLT;10;310;10;13;7190;137;1995;12117;AA01202
120;Ford;Expedition 4.6 XLT;8;232;15;19;5000;119;1996;24217;CC11210
121;Ford;Explorer XLT V6;6;210;15;20;4463;114;1997;36319;AH21221
122;Ford;Escape XLS;6;201;18;23;3346;103;1998;48423;CA31232
123;Ford;Focus ZX3 2dr hatch;4;130;26;33;2612;103;1999;60529;AC41240
124;Ford;Focus LX 4dr;4;110;27;36;2606;103;2000;72637;CH01251
125;Ford;Focus SE 4dr;4;130;26;33;2606;103;2001;84747;AA11262
126;Ford;Focus ZX5 5dr;4;130;26;33;2691;103;2002;96859;CC21270
127;Ford;Focus SVT 2dr;4;170;21;28;2750;103;2003;19;AH31281
128;Ford;Taurus LX 4dr;6;155;20;27;3306;109;2004;12126;CA41292
129;Ford;Taurus SES Duratec 4dr;6;201;19;26;3313;109;2005;24235;AC01300
130;Ford;Crown Victoria 4dr;8;224;17;25;4057;115;2006;36346;CH11311
131;Ford;Crown Victoria LX 4dr;8;224;17;25;4057;115;2007;48459;AA21322
132;Ford;Crown Victoria LX Sport 4dr;8;239;17;25;4057;115;2008;60574;CC31330
133;Ford;Freestar SE;6;193;17;23;4275;121;2009;72691;AH41341
134;Ford;Mustang 2dr (convertible);6;193;20;29;3290;101;2010;84810;CA01352
135;Ford;Mustang GT Premium convertible 2dr;8;260;17;25;3347;101;2011;96931;AC11360
136;Ford;Thunderbird Deluxe convert w/hardtop 2d;8;280;17;24;3780;107;2012;19;CH21371
137;Ford;F-150 Regular Cab XL;8;231;15;19;4788;126;2013;12135;AA31382
138;Ford;F-150 Supercab Lariat;8;300;14;18;5464;133;2014;24253;CC41390
139;Ford;Ranger 2.3 XL Regular Cab;4;143;24;29;3028;111;2015;36373;AH01401
140;Ford;Focus ZTW;4;130;26;33;2702;103;2016;48495;CA11412
141;Ford;Taurus SE;6;155;19;26;3497;109;1977;60619;AC21420
142;GMC;Envoy XUV SLE;6;275;15;19;4945;129;1978;72745;CH31431
143;GMC;Yukon 1500 SLE;8;285;16;19;5042;116;1979;84873;AA41442
144;GMC;Yukon XL 2500 SLT;8;325;13;17;6133;130;1980;97003;CC01450
145;GMC;Safari SLE;6;190;16;20;4309;111;1981;19;AH11461
146;GMC;Canyon Z85 SL Regular Cab;4;175;18;25;3351;111;1982;12144;CA21472
147;GMC;Sierra Extended Cab 1500;8;285;17;20;4548;144;1983;24271;AC31480
148;GMC;Sierra HD 2500;8;300;13;18;5440;133;1984;36400;CH41491
149;GMC;Sonoma Crew Cab;6;190;15;19;4083;123;1985;48531;AA01502
150;Honda;Civic Hybrid 4dr manual (gas/electric);4;93;46;51;2732;103;1986;60664;CC11510
151;Honda;Insight 2dr (gas/electric);3;73;60;66;1850;95;1987;72799;AH21521
152;Honda;Pilot LX;6;240;17;22;4387;106;1988;84936;CA31532
153;Honda;CR-V LX;4;160;21;25;3258;103;1989;97075;AC41540
154;Honda;Element LX;4;160;21;24;3468;101;1990;19;CH01551
155;Honda;Civic DX 2dr;4;115;32;38;2432;103;1991;12153;AA11562
156;Honda;Civic HX 2dr;4;117;36;44;2500;103;1992;24289;CC21570
157;Honda;Civic LX 4dr;4;115;32;38;2513;103;1993;36427;AH31581
158;Honda;Accord LX 2dr;4;160;26;34;2994;105;1994;48567;CA41592
159;Honda;Accord EX 2dr;4;160;26;34;3047;105;1995;60709;AC01600
160;Honda;Civic EX 4dr;4;127;32;37;2601;103;1996;72853;CH11611
161;Honda;Civic Si 2dr hatch;4;160;26;30;2782;101;1997;84999;AA21622
162;Honda;Accord LX V6 4dr;6;240;21;30;3349;108;1998;97147;CC31630
163;Honda;Accord EX V6 2dr;6;240;21;30;3294;105;1999;19;AH41641
164;Honda;Odyssey LX;6;240;18;25;4310;118;2000;12162;CA01652
165;Honda;Odyssey EX;6;240;18;25;4365;118;2001;24307;AC11660
166;Honda;S2000 convertible 2dr;4;240;20;25;2835;95;2002;36454;CH21671
167;Hummer;H2;8;316;10;12;6400;123;2003;48603;AA31682
168;Hyundai;Santa Fe GLS;6;173;20;26;3549;103;2004;60754;CC41690
169;Hyundai;Accent 2dr hatch;4;103;29;33;2255;96;2005;72907;AH01701
170;Hyundai;Accent GL 4dr;4;103;29;33;2290;96;2006;85062;CA11712
171;Hyundai;Accent GT 2dr hatch;4;103;29;33;2339;96;2007;97219;AC21720
172;Hyundai;Elantra GLS 4dr;4;138;26;34;2635;103;2008;19;CH31731
173;Hyundai;Elantra GT 4dr;4;138;26;34;2635;103;2009;12171;AA41742
174;Hyundai;Elantra GT 4dr hatch;4;138;26;34;2698;103;2010;24325;CC01750
175;Hyundai;Sonata GLS 4dr;6;170;19;27;3217;106;2011;36481;AH11761
176;Hyundai;Sonata LX 4dr;6;170;19;27;3217;106;2012;48639;CA21772
177;Hyundai;XG350 4dr;6;194;17;26;3651;108;2013;60799;AC31780
178;Hyundai;XG350 L 4dr;6;194;17;26;3651;108;2014;72961;CH41791
179;Hyundai;Tiburon GT V6 2dr;6;172;19;26;3023;100;2015;85125;AA01802
180;Infiniti;G35 4dr;6;260;18;26;3336;112;2016;97291;CC11810
181;Infiniti;G35 Sport Coupe 2dr;6;280;18;26;3416;112;1977;19;AH21821
182;Infiniti;G35 4dr;6;260;18;26;3677;112;1978;12180;CA31832
183;Infiniti;I35 4dr;6;255;19;26;3306;108;1979;24343;AC41840
184;Infiniti;M45 4dr;8;340;17;23;3851;110;1980;36508;CH01851
185;Infiniti;Q45 Luxury 4dr;8;340;17;23;3977;113;1981;48675;AA11862
186;Infiniti;FX35;6;280;16;22;4056;112;1982;60844;CC21870
187;Infiniti;FX45;8;315;15;19;4309;112;1983;73015;AH31881
188;Isuzu;Ascender S;6;275;15;20;4967;129;1984;85188;CA41892
189;Isuzu;Rodeo S;6;193;17;21;3836;106;1985;97363;AC01900
190;Jaguar;X-Type 2.5 4dr;6;192;18;26;3428;107;1986;19;CH11911
191;Jaguar;X-Type 3.0 4dr;6;227;18;25;3516;107;1987;12189;AA21922
192;Jaguar;S-Type 3.0 4dr;6;235;18;26;3777;115;1988;24361;CC31930
193;Jaguar;S-Type 4.2 4dr;8;294;18;28;3874;115;1989;36535;AH41941
194;Jaguar;S-Type R 4dr;8;390;17;24;4046;115;1990;48711;CA01952
195;Jaguar;Vanden Plas 4dr;8;294;18;28;3803;119;1991;60889;AC11960
196;Jaguar;XJ8 4dr;8;294;18;28;3803;119;1992;73069;CH21971
197;Jaguar;XJR 4dr;8;390;17;24;3948;119;1993;85251;AA31982
198;Jaguar;XK8 coupe 2dr;8;294;18;26;3779;102;1994;97435;CC41990
199;Jaguar;XK8 convertible 2dr;8;294;18;26;3980;102;1995;19;AH02001
200;Jaguar;XKR coupe 2dr;8;390;16;23;3865;102;1996;12198;CA12012
201;Jaguar;XKR convertible 2dr;8;390;16;23;4042;102;1997;24379;AC22020
202;Jeep;Grand Cherokee Laredo;6;195;16;21;3790;106;1998;36562;CH32031
203;Jeep;Liberty Sport;4;150;20;24;3826;104;1999;48747;AA42042
204;Jeep;Wrangler Sahara convertible 2dr;6;190;16;19;3575;93;2000;60934;CC02050
205;Kia;Sorento LX;6;192;16;19;4112;107;2001;73123;AH12061
206;Kia;Optima LX 4dr;4;138;23;30;3281;106;2002;85314;CA22072
207;Kia;Rio 4dr manual;4;104;26;33;2403;95;2003;97507;AC32080
208;Kia;Rio 4dr auto;4;104;25;32;2458;95;2004;19;CH42091
209;Kia;Spectra 4dr;4;124;24;32;2661;101;2005;12207;AA02102
210;Kia;Spectra GS 4dr hatch;4;124;24;32;2686;101;2006;24397;CC12110
211;Kia;Spectra GSX 4dr hatch;4;124;24;32;2697;101;2007;36589;AH22121
212;Kia;Optima LX V6 4dr;6;170;20;27;3279;106;2008;48783;CA32132
213;Kia;Amanti 4dr;6;195;17;25;4021;110;2009;60979;AC42140
214;Kia;Sedona LX;6;195;16;22;4802;115;2010;73177;CH02151
215;Kia;Rio Cinco;4;104;26;33;2447;95;2011;85377;AA12162
216;Land Rover;Range Rover HSE;8;282;12;16;5379;113;2012;97579;CC22170
217;Land Rover;Discovery SE;8;217;12;16;4576;100;2013;19;AH32181
218;Land Rover;Freelander SE;6;174;18;21;3577;101;2014;12216;CA42192
219;Lexus;GX 470;8;235;15;19;4740;110;2015;24415;AC02200
220;Lexus;LX 470;8;235;13;17;5590;112;2016;36616;CH12211
221;Lexus;RX 330;6;230;18;24;4065;107;1977;48819;AA22222
222;Lexus;ES 330 4dr;6;225;20;29;3460;107;1978;61024;CC32230
223;Lexus;IS 300 4dr manual;6;215;18;25;3255;105;1979;73231;AH42241
224;Lexus;IS 300 4dr auto;6;215;18;24;3285;105;1980;85440;CA02252
225;Lexus;GS 300 4dr;6;220;18;25;3649;110;1981;97651;AC12260
226;Lexus;GS 430 4dr;8;300;18;23;3715;110;1982;19;CH22271
227;Lexus;LS 430 4dr;8;290;18;25;3990;115;1983;12225;AA32282
228;Lexus;SC 430 convertible 2dr;8;300;18;23;3840;103;1984;24433;CC42290
229;Lexus;IS 300 SportCross;6;215;18;24;3410;105;1985;36643;AH02301
230;Lincoln;Navigator Luxury;8;300;13;18;5969;119;1986;48855;CA12312
231;Lincoln;Aviator Ultimate;8;302;13;18;4834;114;1987;61069;AC22320
232;Lincoln;LS V6 Luxury 4dr;6;232;20;26;3681;115;1988;73285;CH32331
233;Lincoln;LS V6 Premium 4dr;6;232;20;26;3681;115;1989;85503;AA42342
234;Lincoln;LS V8 Sport 4dr;8;280;17;24;3768;115;1990;97723;CC02350
235;Lincoln;LS V8 Ultimate 4dr;8;280;17;24;3768;115;1991;19;AH12361
236;Lincoln;Town Car Signature 4dr;8;239;17;25;4369;118;1992;12234;CA22372
237;Lincoln;Town Car Ultimate 4dr;8;239;17;25;4369;118;1993;24451;AC32380
238;Lincoln;Town Car Ultimate L 4dr;8;239;17;25;4474;124;1994;36670;CH42391
239;MINI;Cooper;4;115;28;37;2524;97;1995;48891;AA02402
240;MINI;Cooper S;4;163;25;34;2678;97;1996;61114;CC12410
241;Mazda;Tribute DX 2.0;4;130;22;25;3091;103;1997;73339;AH22421
242;Mazda;Mazda3 i 4dr;4;148;26;34;2696;104;1998;85566;CA32432
243;Mazda;Mazda3 s 4dr;4;160;25;31;2762;104;1999;97795;AC42440
244;Mazda;Mazda6 i 4dr;4;160;24;32;3042;105;2000;19;CH02451
245;Mazda;MPV ES;6;200;18;25;3812;112;2001;12243;AA12462
246;Mazda;MX-5 Miata convertible 2dr;4;142;23;28;2387;89;2002;24469;CC22470
247;Mazda;MX-5 Miata LS convertible 2dr;4;142;23;28;2387;89;2003;36697;AH32481
248;Mazda;RX-8 4dr automatic;0;197;18;25;3053;106;2004;48927;CA42492
249;Mazda;RX-8 4dr manual;0;238;18;24;3029;106;2005;61159;AC02500
250;Mazda;B2300 SX Regular Cab;4;143;24;29;2960;112;2006;73393;CH12511
251;Mazda;B4000 SE Cab Plus;6;207;15;19;3571;126;2007;85629;AA22522
252;Mercedes-Benz;G500;8;292;13;14;5423;112;2008;97867;CC32530
253;Mercedes-Benz;ML500;8;288;14;17;4874;111;2009;19;AH42541
254;Mercedes-Benz;C230 Sport 2dr;4;189;22;30;3250;107;2010;12252;CA02552
255;Mercedes-Benz;C320 Sport 2dr;6;215;19;26;3430;107;2011;24487;AC12560
256;Mercedes-Benz;C240 4dr;6;168;20;25;3360;107;2012;36724;CH22571
257;Mercedes-Benz;C240 4dr;6;168;19;25;3360;107;2013;48963;AA32582
258;Mercedes-Benz;C320 Sport 4dr;6;215;19;26;3430;107;2014;61204;CC42590
259;Mercedes-Benz;C320 4dr;6;215;20;26;3450;107;2015;73447;AH02601
260;Mercedes-Benz;C320 4dr;6;215;19;27;3450;107;2016;85692;CA12612
261;Mercedes-Benz;C32 AMG 4dr;6;349;16;21;3540;107;1977;97939;AC22620
262;Mercedes-Benz;CL500 2dr;8;302;16;24;4085;114;1978;19;CH32631
263;Mercedes-Benz;CL600 2dr;12;493;13;19;4473;114;1979;12261;AA42642
264;Mercedes-Benz;CLK320 coupe 2dr (convertible);6;215;20;26;3770;107;1980;24505;CC02650
